,text,news_link,outlet,topic,type,label_bias,label_opinion,biased_words,label
1053,"Former Australia Prime Minister Kevin Rudd ripped Donald Trump’s botched handling of the coronavirus pandemic in a new op-ed, describing the U.S. president as a “quack apothecary” for hyping unproven cures",https://www.huffpost.com/entry/kevin-rudd-donald-trump-coronavirus-handling_n_5eb3d30dc5b6526942a266d1,HuffPost,trump-presidency,left,Biased,Somewhat factual but also opinionated,"['ripped', 'botched']",1
1054,"Former Defense Secretary William Cohen on Friday called out President Donald Trump’s violent rhetoric about anti-racism protesters, warning the White House is “leading us down the trail toward a dictatorship.”",https://www.huffpost.com/entry/william-cohen-donald-trump-dictatorship_n_5edb4594c5b6da5b9890ea57,HuffPost,elections-2020,left,Biased,Somewhat factual but also opinionated,['dictatorship'],1
1055,"Former ESPN personality Jemele Hill attacked the NFL for its lack of black coaches, and blasted the Rooney Rule as an insufficient solution to the problem.",https://www.breitbart.com/sports/2020/01/12/jemele-hill-nfl-coaches-have-problem-coaches-color/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,sport,right,Biased,Somewhat factual but also opinionated,['blasted'],1
1056,"Former GOP strategist Steve Schmidt on Monday rebuked President Donald Trump’s fumbling response to the coronavirus pandemic, suggesting the United States would not be facing “catastrophe” if former President Barack Obama were still in office",https://www.huffpost.com/entry/steve-schmidt-barack-obama-donald-trump-coronavirus_n_5eba5909c5b68f80c04c89a5,HuffPost,trump-presidency,left,Biased,Somewhat factual but also opinionated,['fumbling'],1
1057,Former Mayor Pete Buttigieg (D) claimed during the Democrat debate on Friday that he has been “consistent” on his position on health care.,http://feedproxy.google.com/~r/breitbart/~3/PPEc-yRkmGs/,Breitbart,universal health care,right,Biased,Entirely factual,['claimed'],1
1058,"Former Republican presidential nominee Mitt Romney took to Twitter on Monday morning to attack President Donald Trump, using the Martin Luther King Jr. holiday to suggest that Trump is a racist.",https://www.breitbart.com/politics/2018/01/15/mitt-romney-uses-dr-martin-luther-king-jr-day-bash-donald-trump/,Breitbart,trump-presidency,right,Biased,Somewhat factual but also opinionated,['racist'],1
1059,"Former Secretary of the Navy Richard V. Spencer on Friday endorsed Democratic presidential candidate Michael Bloomberg, making him the first high-level former Trump administration official to back a Democratic hopeful in the 2020 election.",https://www.reuters.com/article/us-usa-election-bloomberg-spencer/former-trump-navy-secretary-backs-bloomberg-for-president-idUSKBN2011QO,Reuters,trump-presidency,center,Non-biased,Entirely factual,[],0
1060,"Former Tulsa detention officer Christopher Straight has been charged with first-degree manslaughter after he provoked and then fatally Carlos Carson earlier this month, and newly released surveillance video shows the 36-year-old Black man had his back turned when the attack began, reported The Guardian.",https://www.alternet.org/2020/06/trump-loving-security-guard-who-gunned-down-a-black-man-in-tulsa-had-history-of-racism-report/,Alternet,black lives matter,left,Non-biased,Entirely factual,[],0
1061,"Former Vice President Al Gore turned up the rhetorical heat during a conference in Atlanta on Thursday, where he warned that climate change could bring about the end of civilization.",https://www.foxnews.com/politics/al-gore-says-climate-change-can-bring-about-the-end-of-civilization-during-talk-in-atlanta-report,Fox News,environment,right,Biased,Somewhat factual but also opinionated,"['rhetorical', 'heat']",1
1062,Former Vice President Joe Biden asserted the Medicare for All proposal championed by his progressive rival Sen. Bernie Sanders (I-VT) would require massive tax increases.,https://www.breitbart.com/2020-election/2020/02/07/fact-check-biden-claims-sanders-medicare-for-all-proposal-would-require-tax-hikes/?utm_medium=social&utm_source=facebook,Breitbart,universal health care,right,Non-biased,Entirely factual,['asserted'],0
1063,Former Vice President Joe Biden lied on Monday about his past position on the best way to deal with the novel Wuhan coronavirus rapidly spreading worldwide that would eventually bloom into a global pandemic.,https://thefederalist.com/2020/06/02/joe-biden-lies-in-a-church-about-past-position-on-coronavirus/,Federalist,coronavirus,right,Biased,Expresses writer’s opinion,"['lied', 'Wuhan', 'bloom']",1
1066,Four major U.S. cities filed a lawsuit on Thursday contending that President Donald Trump’s administration is unconstitutionally seeking to undermine Obamacare by failing to faithfully execute the healthcare law.,https://www.reuters.com/article/us-usa-obamacare-lawsuit/four-u-s-cities-sue-over-trump-sabotage-of-obamacare-idUSKBN1KN28C?feedType=RSS&feedName=topNews,Reuters,universal health care,center,Non-biased,Entirely factual,[],0
1067,"Four states will hold their primary contests on Tuesday night, despite Georgia and Louisiana each postponing their elections previously scheduled for a few weeks later over concerns of the spreading Wuhan virus.",https://thefederalist.com/2020/03/16/wuhan-virus-disrupts-2020-primary-calendar-as-states-postpone-elections/,Federalist,elections-2020,right,Biased,Somewhat factual but also opinionated,"['Wuhan', 'virus']",1
1068,Fox News has gone so deep into white nationalism that Donald Trump now believes it’s how he’ll win in 2020,https://www.alternet.org/2019/07/fox-news-has-gone-so-deep-into-white-nationalism-that-donald-trump-now-believes-its-how-hell-win-in-2020/,Alternet,white-nationalism,left,Non-biased,Expresses writer’s opinion,"['white', 'nationalism']",0
1070,"France will introduce a tax on airlines flying from its airports to help support the environment, the transport minister said on Tuesday, in a move expected to raise around 180 million euros ($202 million) from 2020.",https://www.reuters.com/article/us-france-airlines-tax-idUSKCN1U412B,Reuters,taxes,center,Non-biased,Entirely factual,[],0
1072,"Franciscan friar Father Daniel Horan, a pro-LGBT priest and professor who will be speaking at the upcoming Los Angeles Religious Education Congress, took to Twitter this weekend to bash the March for Life and condemn without trial a group of white Catholic high school boys as “racists” for supposedly “taunting” a Native American man beating a drum.",https://www.breitbart.com/faith/2019/01/21/catholic-priest-slams-march-for-life-as-repulsive-and-futile/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,abortion,right,Biased,Somewhat factual but also opinionated,['bash'],1
1073,Franklin Graham: Democrats Exploit Coronavirus to ‘Defeat Donald Trump in the Election’,https://www.breitbart.com/health/2020/04/18/franklin-graham-democrats-exploit-coronavirus-defeat-donald-trump-election/,Breitbart,coronavirus,right,Biased,No agreement,['exploit'],1
1074,Free trade has helped gut working and middle class American jobs and stripped whole middle American towns of their industries and livelihoods.,https://www.breitbart.com/politics/2019/11/01/josh-hawley-bushs-globalist-new-world-order-has-made-the-elites-rich-eroded-middle-class-way-of-life/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,middle-class,right,Biased,Expresses writer’s opinion,"['gut', 'stripped']",1
1075,"French movie director Christophe Ruggia was taken into custody on Tuesday, Paris prosecutors said, over allegations that he sexually assaulted a teenage girl who was cast in one of his movies nearly two decades ago.",https://www.reuters.com/article/us-france-abuse-haenel/french-filmmaker-detained-over-alleged-sexual-assault-prosecutors-idUSKBN1ZD1NR?feedType=RSS&feedName=topNews,Reuters,#metoo,center,Non-biased,Entirely factual,[],0
1076,French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.,https://www.breitbart.com/europe/2019/03/01/french-shop-withdraws-sports-hijab-over-boycott/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,sport,right,Non-biased,Entirely factual,[],0
1078,"Friday, a legal services organization at Yale Law School sent a letter to the high court urging that the administration's decision to terminate DACA should be blocked in light of the pandemic.",https://eu.usatoday.com/story/news/politics/2020/03/30/dreamers-wake-up-call-pandemic-puts-daca-recipients-front-lines/2935336001/,USA Today,immigration,center,Non-biased,Entirely factual,[],0
1079,"From the Rio Grande Valley in Texas to the Southern California coast, the Trump administration continues  separating migrant families at rates that alarm immigration attorneys and advocates, even though a federal judge barred family separations as a systemic policy.",https://eu.usatoday.com/story/news/nation/2019/05/02/border-family-separations-trump-administration-border-patrol/3563990002/,USA Today,immigration,center,Non-biased,Entirely factual,[],0
1080,"From wildfires in Australia and California to hurricanes and flooding in Florida, a variety of extreme events will become more severe and more common as climate change accelerates.",https://www.alternet.org/2020/01/suicides-and-drownings-study-lays-out-the-surprising-ways-a-hotter-climate-will-kill-americans/,Alternet,environment,left,Non-biased,Entirely factual,[],0
1081,Frustrated Democrats slammed Republicans for what they see as a debacle that could leave millions of Americans without health care. ,https://www.breitbart.com/news/outraged-democrats-vow-to-challenge-court-ruling-undercutting-obamacare/,Breitbart,coronavirus,right,Biased,Somewhat factual but also opinionated,"['frustrated', 'slammed']",1
1082,"Fuel taxes, vehicle import taxes and driving taxes, for instance, account for about 12 percent of government revenue, the minister said.",https://www.reuters.com/article/us-costa-rica-climatechange-transportati/costa-rica-launches-unprecedented-push-for-zero-emissions-by-2050-idUSKCN1QE253,Reuters,taxes,center,Non-biased,Entirely factual,[],0
1083,"Fueled by a wave of youthful activists, including many Jews aligning with Muslims, criticism of Israel's policies toward the Palestinians has grown in volume and scope, with persistent calls for boycotts and disinvestment.",https://www.foxnews.com/us/omar-furor-reflects-intensifying-national-debate-over-israel,Fox News,international-politics-and-world-news,right,Non-biased,Somewhat factual but also opinionated,['fueled'],0
1084,Further biased editing on the page included a section on “reports of extremist activities” focusing on largely dubious claims of “far-right” involvement in violence and rioting.,http://feedproxy.google.com/~r/breitbart/~3/JEzbJwSAFXk/,Breitbart,black lives matter,right,Biased,Somewhat factual but also opinionated,"['dubious', 'claims', 'largely']",1
1085,"Further, the Trump Tax Cuts and Jobs Act also repealed the Obamacare individual mandate, which serves as a giant middle-class tax cut. ",https://www.breitbart.com/politics/2019/10/15/fact-check-trump-lowered-taxes-for-middle-class-americans/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,middle-class,right,Biased,Entirely factual,[],1
1088,Gadsby's work is a testament to how eagerly the arbiters of our culture will devour and elevate work that convincingly purports to be progressive.,https://thefederalist.com/2020/05/28/hannah-gadsby-doesnt-even-believe-her-own-argument/,Federalist,vaccines,right,Biased,Somewhat factual but also opinionated,[],1
1089,"Gamblers and reality TV stars can claim bankruptcy protections when in financial trouble, but 44 million student loan borrowers can’t. Unemployed, underpaid, destitute, sick, or struggling borrowers simply aren’t able to start anew.",https://www.alternet.org/2018/09/ending-secrecy-student-debt-crisis/,Alternet,student-debt,left,Non-biased,Expresses writer’s opinion,[],0
1090,Gates added that raising taxes on the wealthy would narrow the wealth gap between the richest and poorest of Americans.,https://www.breitbart.com/economy/2020/01/02/bill-gates-calls-for-taxing-the-rich-in-new-years-eve-blog-post/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,middle-class,right,Non-biased,Entirely factual,[],0
1091,"Gautney consented to this field, job, and city, so if she has an issue with compensation or cost of living, switching to a more lucrative field or cheaper place to live is a decision she should make for herself, not a decision that ought to be bailed out by unsuspecting taxpayers who played no role in the choice. ",https://thefederalist.com/2019/06/26/taking-student-debt-pursue-degree-consensual-choice/,Federalist,student-debt,right,Non-biased,Expresses writer’s opinion,[],0
1098,George Washington University (GW)’s Parliamentary Debate Society has decided along with Wellesley College to host a debate tournament exclusively for women and biological males who identify as women while males who identify as men will not be allowed to participate.,https://www.breitbart.com/tech/2019/02/18/george-washington-university-no-men-allowed-to-participate-in-debate-tournament/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,gender,right,Non-biased,Entirely factual,[],0
1099,Germany tries to stop Trump from luring away firm working on coronavirus vaccine.,https://www.nbcnews.com/news/us-news/germany-tries-stop-trump-luring-away-firm-working-coronavirus-vaccine-n1159426,MSNBC,coronavirus,left,Non-biased,Somewhat factual but also opinionated,['luring'],0
1100,"Gervais, the creator and star of the British TV comedy “The Office,” last hosted the Golden Globes in January 2016 - long before the election and impeachment of President Donald Trump, the sexual misconduct scandal that has roiled the entertainment industry, and the #OscarsSoWhite controversies.",https://www.reuters.com/article/us-awards-golden-globes/wicked-ricky-takes-on-golden-globes-in-trump-metoo-era-idUSKBN1Z20XO?feedType=RSS&feedName=peopleNews,Reuters,#metoo,center,Non-biased,Entirely factual,[],0
1101,"Gervais, the no-holds-barred British comedian, returns for a fifth time and is already promising to let the barbs fly.",https://www.reuters.com/article/us-awards-golden-globes/wicked-ricky-takes-on-golden-globes-in-trump-metoo-era-idUSKBN1Z20XO?feedType=RSS&feedName=peopleNews,Reuters,#metoo,center,Non-biased,Entirely factual,"['let', 'the', 'barbs', 'fly']",0
1102,Girls and women do not have the same access to sports — and the profits and privileges and opportunities that come with them — as boys and men.,https://www.alternet.org/2019/02/a-scholar-of-race-studies-details-how-trump-uses-culture-war-narratives-against-nonwhites-to-hold-his-electoral-coalition-together/#.XFj4JxxlunY.twitter,Alternet,sport,left,Non-biased,Expresses writer’s opinion,[],0
1103,"Given a certain level of mistrust, here are several public information topics for which we should remain on high alert for quackery.",https://www.alternet.org/2020/03/trump-white-house-unleashes-a-dangerous-virus-of-misinformation/,Alternet,universal health care,left,Biased,Expresses writer’s opinion,['quackery'],1
1104,"Given the potential enormous risks of destabilizing the region, the Trump administration needed a strong justification for launching the strike that killed revered Iranian military leader Qassim Suleimani.",https://www.alternet.org/2020/01/mike-pompeo-admits-on-live-tv-there-was-no-threat-to-the-american-homeland-from-suleimani/#.Xg9V0uTlKA4.facebook,Alternet,international-politics-and-world-news,left,Non-biased,Somewhat factual but also opinionated,[],0
1106,"Given these bleak prospects, students who go to college to “find themselves” are likely to waste precious time and money because they lack a clear vision. ",https://thefederalist.com/2020/01/23/americans-need-to-stop-hurrying-young-people-into-student-debt-slavery/,Federalist,student-debt,right,Biased,Expresses writer’s opinion,['bleak'],1
1107,"Global cooperation is key to ensuring the security of 5G networks, cyber security officials said on Thursday at a meeting in Prague aimed at hammering out how to combat threats as nations begin rolling out next-generation telecoms equipment.",https://www.reuters.com/article/us-telecoms-5g-security/global-security-officials-to-hammer-out-united-5g-security-approach-idUSKCN1S81NX,Reuters,environment,center,Non-biased,Entirely factual,"['hammering', 'out']",0
1108,"Global warming is a silly, frivolous and expensive religion which only the stupidly rich can afford to indulge.",http://feedproxy.google.com/~r/breitbart/~3/IEXwhuO5lrc/,Breitbart,taxes,right,Biased,Expresses writer’s opinion,"['silly', 'frivolous', 'stupidly', 'indulge']",1
1109,Goddamn the Democrats who coddle these left-wing terrorists.,http://feedproxy.google.com/~r/breitbart/~3/cT_erPwcnfw/,Breitbart,black lives matter,right,Biased,Expresses writer’s opinion,"['Goddamn', 'coddle', 'left-wing', 'terrorists']",1
1111,"Goodell’s statement comes after more than a dozen NFL stars, including Kansas City Chiefs quarterback Patrick Mahomes and Cleveland Browns wide receiver Odell Beckham Jr., came together and sent a passionate video to the league about racial inequality following the death of George Floyd.",http://feedproxy.google.com/~r/breitbart/~3/TK8uMYGJIIM/,Breitbart,black lives matter,right,Non-biased,Entirely factual,[],0
1112,"Google declined to offer details beyond Huntley’s tweets, but the unusually public attribution is a sign of how sensitive Americans have become to digital espionage efforts aimed at political campaigns.",https://www.reuters.com/article/us-usa-election-alphabet-cyberattack/chinese-and-iranian-hackers-targeted-biden-and-trump-campaigns-google-says-idUSKBN23B2T9,Reuters,elections-2020,center,Non-biased,Entirely factual,[],0
1113,"Google has faced internal criticism in the past over sales and partnerships involving the U.S. military, as well as foreign governments seen by human rights activists as authoritarian.",https://www.reuters.com/article/us-minneapolis-protests-google/google-faces-employee-petition-to-end-tech-sales-to-police-idUSKBN23T3B4,Reuters,black lives matter,center,Non-biased,Entirely factual,[],0
1114,"Gov. Greg Abbott dug his heels in Tuesday in a TV interview explaining why Texas will be the only state in the nation to reject refugees seeking resettlement, saying that aid groups working with refugees should instead prioritize other Texans in need, including the state’s homeless population.",https://www.alternet.org/2020/01/texas-governor-says-nonprofits-helping-refugees-should-focus-on-homelessness-refugee-groups-say-it-doesnt-work-that-way/,Alternet,immigration,left,Biased,Somewhat factual but also opinionated,"['dug', 'heels']",1
1115,"Gov. Tate Reeves, who has worked for years to limit and end abortion in Mississippi, promised to take action against the state's lone abortion clinic if it continues to provide abortions during the coronavirus pandemic.",https://eu.usatoday.com/story/news/politics/2020/03/24/mississippi-gov-abortions-must-halted-during-coronavirus-pandemic/2909422001/,USA Today,abortion,center,Non-biased,Entirely factual,[],0
1118,"Governments have the right to restrict protests on public health grounds, within reason, the U.N. Human Rights Committee said, as Black Lives Matter and other demonstrations clash with coronavirus outbreaks around the world.",https://www.reuters.com/article/us-un-rights/states-can-restrict-protests-on-public-health-grounds-u-n-says-idUSKCN24U1U1,Reuters,black lives matter,center,Non-biased,Entirely factual,[],0
1120,"Graffiti alleging that the ‘MET POLICE SERVE TRUMP’ was also seen, although how the activists came to gain this impression of the Metropolitan Police — led by left-liberal Commissioner Cressida Dick and answerable in large part to the city’s anti-Trump mayor — is unclear.",https://www.breitbart.com/europe/2020/05/31/antifa-black-lives-matter-spread-george-floyd-unrest-london/,Breitbart,black lives matter,right,Non-biased,Expresses writer’s opinion,['alleging'],0
1122,"Greek leftists in the city of Thessaloniki set fire to an American flag in front of a United States consulate, claiming to be doing so in solidarity with “U.S. insurgents”.",http://feedproxy.google.com/~r/breitbart/~3/PPa31Mqahb4/,Breitbart,black lives matter,right,Biased,Somewhat factual but also opinionated,"['claiming', 'leftists']",1
1123,Greenpeace co-founder and former president of Greenpeace Canada Patrick Moore explained to Breitbart News how Greenpeace’s original spirit of celebrating humanity was usurped by an anti-human Malthusian vision.,https://www.breitbart.com/radio/2019/03/07/greenpeace-founder-aoc-type-eco-fascists-pushing-green-new-deal-against-humans/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,environment,right,Biased,Somewhat factual but also opinionated,['usurped'],1
1124,"Greta Thunberg, the teenage climate activist from Sweden, the 16-year-old’s steely-eyed courage has helped inspire kids across the country — and the world — to join her call to strike from school last week and stand up for more aggressive action to combat the climate crisis.",https://www.alternet.org/2019/09/why-theyre-scared-of-greta-thunberg-right-wingers-cant-deny-this-climate-activists-truth-in-desperation-theyre-resorting-to-malice-bigotry-and-lies/,Alternet,environment,left,Biased,Somewhat factual but also opinionated,['steely-eyed'],1
1125,"Group of 20 finance ministers agreed on Sunday to compile common rules to close loopholes used by global tech giants such as Facebook to reduce their corporate taxes, a final communique issued by the bloc showed on Sunday.",https://www.reuters.com/article/us-g20-japan-tax/g20-agrees-to-wrap-up-big-tech-tax-rules-by-2020-idUSKCN1TA05F?feedType=RSS&feedName=topNews,Reuters,taxes,center,Non-biased,Entirely factual,[],0
1126,Gun control activists on Monday criticized guidance issued by President Donald Trump’s administration recommending that states find that gun stores are critical businesses that can stay open during the coronavirus crisis.,https://www.reuters.com/article/us-health-coronavirus-usa-guns/trump-coronavirus-guidance-on-keeping-gun-stores-open-draws-criticism-idUSKBN21H37L?feedType=RSS&feedName=topNews,Reuters,gun control,center,Non-biased,Entirely factual,[],0
1127,"Gun control advocates said gun rights groups are sowing fear during the pandemic in order to boost firearms sales, adding that increased gun ownership during the crisis could lead to more domestic violence.",https://www.reuters.com/article/us-health-coronavirus-usa-guns/trump-coronavirus-guidance-on-keeping-gun-stores-open-draws-criticism-idUSKBN21H37L?feedType=RSS&feedName=topNews,Reuters,gun control,center,Non-biased,Entirely factual,[],0
1128,"Gun control groups hit back, saying the closures are strictly a public health matter — even as a number of sympathetic Democratic governors acknowledge bowing to pressure from lawsuits and the Trump administration.",https://www.nbcnews.com/politics/politics-news/buckling-pressure-many-states-deem-gun-stores-essential-allow-them-n1177706?cid=public-rss_20200407,MSNBC,gun-control,left,Biased,Somewhat factual but also opinionated,[],1
1129,Gun control has emerged as one of the most divisive issues in U.S. politics.,https://www.reuters.com/article/us-usa-politics-guns/u-s-gun-control-advocacy-group-to-spend-8-million-on-texas-political-campaigns-idUSKBN20D2NX,Reuters,gun control,center,Non-biased,No agreement,[],0
1130,Gun enthusiasts cannot admit that they like firearms because they fear black people.,https://www.alternet.org/2019/07/how-far-will-republicans-go-to-destroy-democracy/#.XSY6699P5zg.twitter,Alternet,gun-control,left,Non-biased,Expresses writer’s opinion,[],0
1131,Gun enthusiasts have erroneously enlisted the Constitution to justify this extreme democracy of firepower.,https://www.alternet.org/2020/09/trump-and-the-threat-of-an-unrestrained-mob/?xrs=RebelMouse_fb&ts=1601414964,Alternet,gun control,left,Biased,Somewhat factual but also opinionated,['enthusiasts'],1
1132,Gun-control activists have reported a growing number of online death threats as lawmakers have passed gun control legislation ahead of the rally.,https://www.reuters.com/article/us-usa-guns-rally/ahead-of-tinder-box-virginia-gun-rally-trump-says-constitution-under-attack-idUSKBN1ZH09W?feedType=RSS&feedName=topNews,Reuters,gun-control,center,Non-biased,Entirely factual,[],0
1133,"Guns caused the life expectancy of black Americans to drop by more than four years from 2000 to 2016, twice as much as the decline in life expectancy of white Americans during the same period, according to an academic study published on Tuesday.",https://www.reuters.com/article/us-usa-guns-research/firearms-cause-sharp-drop-in-life-expectancy-for-black-americans-study-idUSKBN1O32XT,Reuters,gun control,center,Non-biased,Entirely factual,[],0
1134,Gwyneth Paltrow’s anti-vaxxer ally comes under fire for ‘discredited pseudo-scientific claims’ about coronavirus,https://www.alternet.org/2020/03/gwyneth-paltrows-anti-vaxxer-ally-comes-under-fire-for-discredited-pseudo-scientific-claims-about-coronavirus/,Alternet,vaccines,left,Non-biased,Entirely factual,[],0
1136,"H.R. 8, as well as other new gun control legislation currently being considered by the House Democrat majority do not accomplish the goal of reducing gun violence.",https://www.foxnews.com/opinion/rep-steve-scalise-democrats-dont-want-you-to-hear-what-i-have-to-say-about-guns-and-the-second-amendment,Federalist,gun-control,right,Non-biased,Entirely factual,[],0
1137,"Haqqani claimed the Taliban are just looking for a round of free and fair elections, laughably pretending the murderous Islamist extremists would cheerfully accept losing and head back to their caves in peace if the Afghan people reject them.",http://feedproxy.google.com/~r/breitbart/~3/EReXUAKj_UQ/,Breitbart,international-politics-and-world-news,right,Biased,Expresses writer’s opinion,"['claimed', 'laughably', 'murderous']",1
1138,"Harking back to the embarrassing days of Gov. Rick ""Oops"" Perry, my state of Texas is once again saddled with a Republican gubernatorial goober",https://feeds.feedblitz.com/~/629240450/0/alternet_all~The-GOP%e2%80%99s-grotesque-plan-to-cope-with-COVID/,Alternet,universal health care,left,Biased,Expresses writer’s opinion,"['goober', 'embarrassing']",1
1140,Harris had also planned to take time during her Iowa visit to talk about her new policy proposal aimed at closing the gender pay gap.,https://eu.usatoday.com/story/news/elections/presidential/caucus/2019/05/23/democrat-senator-kamala-harris-explains-gender-pay-gap-equity-policy-impact-iowa-caucus-visit/3760328002/,USA Today,gender,center,Non-biased,Entirely factual,[],0
1141,Harris is also pushing legislation that would dramatically expand the legal and financial incentives for hundreds of thousands of Indian low-wage college graduates to take U.S.-based jobs from U.S. college graduates.,https://www.breitbart.com/immigration/2019/04/03/kamala-harris-congress-should-hire-daca-illegal/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,immigration,right,Biased,No agreement,['dramatically'],1
1143,"Harris, like her Democrat competitors at the time, signaled that she supports free, taxpayer-funded health care for illegal aliens, which by some estimates could cost up to $660 billion per decade.",http://feedproxy.google.com/~r/breitbart/~3/bRnqCF_40wg/,Breitbart,gun control,right,Biased,Entirely factual,"['illegal', 'aliens']",1
1146,Hartford Police Chief Jason Thody and two deputy chiefs drew a cheer from the crowd of peaceful protesters outside the police station as they also knelt with them to show support and denounce the actions that led to Floyd’s death in Minnesota.,http://feedproxy.google.com/~r/breitbart/~3/jPdt3qQv2Ro/,Breitbart,black lives matter,right,Non-biased,Entirely factual,[],0
1149,Harvey Weinstein’s rape trial took a dramatic turn on Tuesday as the judge threatened to revoke his bail and jail the former film producer after catching him using his cellphone just as jury selection got underway.,https://www.reuters.com/article/us-people-harvey-weinstein/judge-threatens-to-jail-harvey-weinstein-for-texting-in-court-idUSKBN1Z60H9?feedType=RSS&feedName=topNews,Reuters,#metoo,center,Non-biased,Entirely factual,[],0
1151,"Having a baby is hard, caring for a baby is hard, going back to work after a leave is hard but a few weeks of salary is not worth killing your baby for.",https://thefederalist.com/2020/03/11/woman-who-killed-baby-over-maternity-leave-proves-welfare-wont-fix-abortion/?fbclid=IwAR2SBE3O9KtpsqJvMCIeSlk4Zeqn3oexJevVoXUhDpKszW_VHrTEMBiewaw,Federalist,abortion,right,Biased,Expresses writer’s opinion,"['killing', 'your', 'baby']",1
1152,"Having failed to contain a historic public health crisis and ensuing economic downturn, the Republican Party is running on a big lie, claiming against all evidence that ""Democrat-led"" cities are rife with crime and rioting and chaos, with fearful (white) residents fleeing in droves to safer locales in the suburbs. ",https://www.alternet.org/2020/08/republicans-are-running-on-a-big-lie-and-its-getting-people-ed/,Alternet,black lives matter,left,Biased,Somewhat factual but also opinionated,['claiming'],1
1153,Hawaii eyes even stricter gun laws in wake of shooting that killed 2 police officers,https://www.foxnews.com/us/hawaii-eyes-even-stricter-gun-laws-in-wake-of-shooting-that-killed-2-police-officers,Federalist,gun-control,right,Non-biased,Entirely factual,[],0
1155,"he Centers for Medicare and Medicaid Services (CMS) announced on Monday that the average premium for the benchmark ACA plan, or the second-lowest costing silver plan, fell by two percent for the 2021 coverage year. ",http://feedproxy.google.com/~r/breitbart/~3/Xno580WeCmw/,Breitbart,universal health care,right,Non-biased,Entirely factual,[],0
1156,"he conservative Club for Growth Action group launched NeverTrumperChrisJacobs.com and launched an ad, claiming that Jacobs campaigned with Never Trump Republican Bill Weld as well as refusing to back President Donald Trump in 2016. ",http://feedproxy.google.com/~r/breitbart/~3/yw_4_x2Q838/,Breitbart,taxes,right,Biased,Somewhat factual but also opinionated,['claiming'],1
1157,He even wants a son to get a background check before a father can give him a gun as a gift.,https://www.breitbart.com/politics/2019/01/02/bloomberg-democrat-led-gun-control-push-could-strengthen-nra/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,gun-control,right,Biased,Somewhat factual but also opinionated,['even'],1
1158,"He has been critical of illegal aliens, but not immigrants in general. Weaver nonetheless implies Trump is somehow responsible.",https://www.breitbart.com/2020-election/2019/08/06/bernie-sanders-campaign-dont-blame-us-for-dayton-blame-trump-for-el-paso/,Breitbart,white-nationalism,right,Biased,Somewhat factual but also opinionated,"['illegal', 'aliens']",1
1159,"He is asking President Trump, a fellow climate change disbeliever and another white nationalist, for help with dousing the fires.",https://www.alternet.org/2019/09/white-nationalism-and-crony-capitalism-are-the-sparks-that-started-fires-in-the-amazon/,Alternet,white-nationalism,left,Biased,Somewhat factual but also opinionated,"['disbeliever', 'white', 'nationalist']",1
1160,He is enjoying the benefits of those guns while working hard to be sure average Americans cannot own them.,https://www.breitbart.com/politics/2020/05/04/biden-enjoys-armed-protection-while-fighting-to-disarm-americans/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,gun-control,right,Non-biased,Expresses writer’s opinion,[],0
1161,"He justified his racism by saying that “many people agree with me,” and by continuing to rave on Twitter about how the real purveyors of “racist hatred” are those who look askance at his embracing the rhetoric of Stormfront and the KKK.",https://www.alternet.org/2019/07/fox-news-has-gone-so-deep-into-white-nationalism-that-donald-trump-now-believes-its-how-hell-win-in-2020/,Alternet,white-nationalism,left,Biased,Somewhat factual but also opinionated,['rave'],1
1162,He lied about matters large and small. He refused to shake House Speaker Nancy Pelosi's outstretched hand. He talked up a divisive culture war.,https://www.msnbc.com/rachel-maddow-show/strategy-laid-bare-trump-sees-value-national-division-n1131336,MSNBC,white-nationalism,left,Biased,Somewhat factual but also opinionated,"['lied', 'divisive', 'culture', 'war']",1
